id	group	wd	weight	time
1	1	wd1	240	1
2	1	wd1	225	1
3	1	wd1	245	1
4	1	wd1	260	1
5	1	wd1	255	1
6	1	wd1	260	1
7	1	wd1	275	1
8	1	wd1	245	1
9	2	wd1	410	1
10	2	wd1	405	1
11	2	wd1	445	1
12	2	wd1	555	1
13	3	wd1	470	1
14	3	wd1	535	1
15	3	wd1	520	1
16	3	wd1	510	1
1	1	wd8	250	8
2	1	wd8	230	8
3	1	wd8	250	8
4	1	wd8	255	8
5	1	wd8	260	8
6	1	wd8	265	8
7	1	wd8	275	8
8	1	wd8	255	8
9	2	wd8	415	8
10	2	wd8	420	8
11	2	wd8	445	8
12	2	wd8	560	8
13	3	wd8	465	8
14	3	wd8	525	8
15	3	wd8	525	8
16	3	wd8	510	8
1	1	wd15	255	15
2	1	wd15	230	15
3	1	wd15	250	15
4	1	wd15	255	15
5	1	wd15	255	15
6	1	wd15	270	15
7	1	wd15	260	15
8	1	wd15	260	15
9	2	wd15	425	15
10	2	wd15	430	15
11	2	wd15	450	15
12	2	wd15	565	15
13	3	wd15	475	15
14	3	wd15	530	15
15	3	wd15	530	15
16	3	wd15	520	15
1	1	wd22	260	22
2	1	wd22	232	22
3	1	wd22	255	22
4	1	wd22	265	22
5	1	wd22	270	22
6	1	wd22	275	22
7	1	wd22	270	22
8	1	wd22	268	22
9	2	wd22	428	22
10	2	wd22	440	22
11	2	wd22	452	22
12	2	wd22	580	22
13	3	wd22	485	22
14	3	wd22	533	22
15	3	wd22	540	22
16	3	wd22	515	22
1	1	wd29	262	29
2	1	wd29	240	29
3	1	wd29	262	29
4	1	wd29	265	29
5	1	wd29	270	29
6	1	wd29	275	29
7	1	wd29	273	29
8	1	wd29	270	29
9	2	wd29	438	29
10	2	wd29	448	29
11	2	wd29	455	29
12	2	wd29	590	29
13	3	wd29	487	29
14	3	wd29	535	29
15	3	wd29	543	29
16	3	wd29	530	29
1	1	wd36	258	36
2	1	wd36	240	36
3	1	wd36	265	36
4	1	wd36	268	36
5	1	wd36	273	36
6	1	wd36	277	36
7	1	wd36	274	36
8	1	wd36	265	36
9	2	wd36	443	36
10	2	wd36	460	36
11	2	wd36	455	36
12	2	wd36	597	36
13	3	wd36	493	36
14	3	wd36	540	36
15	3	wd36	546	36
16	3	wd36	538	36
1	1	wd43	266	43
2	1	wd43	243	43
3	1	wd43	267	43
4	1	wd43	270	43
5	1	wd43	274	43
6	1	wd43	278	43
7	1	wd43	276	43
8	1	wd43	265	43
9	2	wd43	442	43
10	2	wd43	458	43
11	2	wd43	451	43
12	2	wd43	595	43
13	3	wd43	493	43
14	3	wd43	525	43
15	3	wd43	538	43
16	3	wd43	535	43
1	1	wd44	266	44
2	1	wd44	244	44
3	1	wd44	267	44
4	1	wd44	272	44
5	1	wd44	273	44
6	1	wd44	278	44
7	1	wd44	271	44
8	1	wd44	267	44
9	2	wd44	446	44
10	2	wd44	464	44
11	2	wd44	450	44
12	2	wd44	595	44
13	3	wd44	504	44
14	3	wd44	530	44
15	3	wd44	544	44
16	3	wd44	542	44
1	1	wd50	265	50
2	1	wd50	238	50
3	1	wd50	264	50
4	1	wd50	274	50
5	1	wd50	276	50
6	1	wd50	284	50
7	1	wd50	282	50
8	1	wd50	273	50
9	2	wd50	456	50
10	2	wd50	475	50
11	2	wd50	462	50
12	2	wd50	612	50
13	3	wd50	507	50
14	3	wd50	543	50
15	3	wd50	553	50
16	3	wd50	550	50
1	1	wd57	272	57
2	1	wd57	247	57
3	1	wd57	268	57
4	1	wd57	273	57
5	1	wd57	278	57
6	1	wd57	279	57
7	1	wd57	281	57
8	1	wd57	274	57
9	2	wd57	468	57
10	2	wd57	484	57
11	2	wd57	466	57
12	2	wd57	618	57
13	3	wd57	518	57
14	3	wd57	544	57
15	3	wd57	555	57
16	3	wd57	553	57
1	1	wd64	278	64
2	1	wd64	245	64
3	1	wd64	269	64
4	1	wd64	275	64
5	1	wd64	280	64
6	1	wd64	281	64
7	1	wd64	284	64
8	1	wd64	278	64
9	2	wd64	478	64
10	2	wd64	496	64
11	2	wd64	472	64
12	2	wd64	628	64
13	3	wd64	525	64
14	3	wd64	559	64
15	3	wd64	548	64
16	3	wd64	569	64
